"Arrival_Time","Airline_Code","Airline","Origin_Airport","Origin_Code","Origin_City","Flight_Code","Duration"
"13:10","6E","IndiGo","Varanasi","VNS","Varanasi","6E6544","2h 25m"
"13:15","6E","IndiGo","Bhubaneshwar","BBI","Bhubaneswar","6E2304","2h 30m"
"13:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6047","2h 15m"
"13:15","SG","SpiceJet","Gorakhpur Airport","GOP","Gorakhpur","SG555","2h 25m"
"13:20","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5069","1h 50m"
"13:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2945","2h 25m"
"13:25","AI","Air India","Rajiv Gandhi International Airport","HYD","Hyderabad","AI418","1h 55m"
"13:30","6E","IndiGo","Chandigarh","IXC","Chandigarh","6E6382","2h 20m"
"13:35","AI","Air India","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","AI2772","3h 5m"
"13:40","6E","IndiGo","Singapore Changi Airport","SIN","Singapore","6E1340","5h 25m"
"13:40","AI","Air India","Ahmedabad Airport","AMD","Ahmedabad","AI2848","1h 40m"
"13:40","WY","Oman Air","Seeb International","MCT","Muscat","WY203","2h 50m"
"13:45","6E","IndiGo","Nagpur","NAG","Nagpur","6E5344","1h 35m"
"13:45","SG","SpiceJet","Darbhanga Airport","DBR","Darbhanga","SG116","2h 55m"
"13:50","6E","IndiGo","Dehradun","DED","Dehra Dun","6E5021","2h 15m"
"13:50","AI","Air India","Dubai International Airport","DXB","Dubai","AI4216","3h 25m"
"13:50","QP","Akasa Air","Lucknow","LKO","Lucknow","QP1130","2h 15m"
"13:55","6E","IndiGo","Leh","IXL","Leh","6E648","2h 45m"
"13:55","QP","Akasa Air","Cochin","COK","Kochi","QP1138","2h 15m"
"14:00","6E","IndiGo","Lucknow","LKO","Lucknow","6E5148","2h 15m"
"14:05","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2630","2h 0m"
"14:10","AI","Air India","King Khaled International","RUH","Riyadh","AI2214","4h 25m"
"14:15","6E","IndiGo","Coimbatore","CJB","Coimbatore","6E248","1h 55m"
"14:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6676","2h 15m"
"14:15","EK","Emirates","Dubai International Airport","DXB","Dubai","EK506","3h 15m"
"14:20","AI","Air India","Haneda Airport","HND","Tokyo","AI355","9h 0m"
"14:20","AI","Air India","Udaipur","UDR","Udaipur","AI2580","1h 40m"
"14:25","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5384","1h 30m"
"14:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI1785","2h 25m"
"14:30","6E","IndiGo","Goa","GOI","Goa","6E5158","1h 20m"
"14:30","IX","Air India Express","Bhubaneshwar","BBI","Bhubaneswar","IX1243","2h 35m"
"14:35","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E5288","3h 0m"
"14:40","6E","IndiGo","Bagdogra","IXB","Bagdogra","6E5275","3h 10m"
"14:40","6E","IndiGo","King Khaled International","RUH","Riyadh","6E74","4h 25m"
"14:45","6E","IndiGo","Chennai International","MAA","Chennai","6E5258","2h 0m"
"14:45","AI","Air India","Jamnagar","JGA","Jamnagar","AI648","1h 35m"
"14:45","SG","SpiceJet","Jammu","IXJ","Jammu","SG487","2h 45m"
"14:50","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5218","1h 50m"
"15:00","AI","Air India","Goa","GOI","Goa","AI2842","1h 40m"
"15:05","6E","IndiGo","Hirasar Airport","HSR","Hirasar","6E2283","1h 20m"
