"Arrival_time","Airline_Code","Airline","Origin_Airport","Origin_Code","Origin_City","Flight_Code","Duration"
"23:00","6E","IndiGo","Vishakhapatnam","VTZ","Vishakhapatnam","6E2772","1h 50m"
"23:00","QP","Akasa Air","Noida International","DXN","Jewar","QP1526","3h 5m"
"23:05","QP","Akasa Air","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","QP1564","2h 45m"
"23:10","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX1378","1h 20m"
"23:10","KL","KLM","Schiphol","AMS","Amsterdam","KL879","9h 35m"
"23:10","QP","Akasa Air","Calicut","CCJ","Kozhikode","QP1744","1h 20m"
"23:15","6E","IndiGo","Madurai","IXM","Madurai","6E7587","1h 40m"
"23:20","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E6314","2h 45m"
"23:25","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E6188","1h 55m"
"23:25","6E","IndiGo","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","6E316","3h 20m"
"23:30","IX","Air India Express","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","IX2959","3h 15m"
"23:35","AF","Air France","Charles De Gaulle","CDG","Paris","AF194","9h 40m"
"23:35","IX","Air India Express","Patna","PAT","Patna","IX1953","2h 40m"
"23:40","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6515","2h 55m"
"23:40","QP","Akasa Air","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","QP1518","1h 55m"
"23:45","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E6744","2h 5m"
"23:45","MH","Malaysia Airlines","Kuala Lumpur International Airport","KUL","Kuala Lumpur","MH192","4h 15m"
"23:50","6E","IndiGo","Kuala Lumpur International Airport","KUL","Kuala Lumpur","6E1038","4h 25m"
"23:50","IX","Air India Express","Vishakhapatnam","VTZ","Vishakhapatnam","IX1373","1h 40m"
"23:50","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1824","3h 0m"
"23:50","QP","Akasa Air","Lucknow","LKO","Lucknow","QP1568","2h 50m"
"23:55","QP","Akasa Air","Pune","PNQ","Pune","QP1318","1h 45m"
"23:55","TG","Thai Airways","Suvarnabhumi Airport","BKK","Bangkok","TG325","3h 35m"
