"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"07:20","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX2404","1h 20m"
"07:25","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5216","1h 45m"
"07:25","QP","Akasa Air","Varanasi","VNS","Varanasi","QP1421","2h 35m"
"07:30","6E","IndiGo","Bhubaneshwar","BBI","Bhubaneswar","6E702","2h 5m"
"07:30","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E959","1h 55m"
"07:35","6E","IndiGo","Gorakhpur Airport","GOP","Gorakhpur","6E6302","2h 45m"
"07:40","6E","IndiGo","Raipur","RPR","Raipur","6E405","1h 45m"
"07:40","QP","Akasa Air","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","QP1517","1h 45m"
"07:45","6E","IndiGo","Amritsar","ATQ","Amritsar","6E6288","3h 5m"
"08:00","S5","Star Air","Nanded Airport","NDC","Nanded","S5183","1h 30m"
"08:00","VS","Virgin Atlantic","Heathrow","LHR","London","VS317","11h 5m"
"08:05","6E","IndiGo","Cochin","COK","Kochi","6E7005","1h 20m"
"08:10","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E442","2h 25m"
"08:10","6E","IndiGo","Dubai International Airport","DXB","Dubai","6E1485","3h 45m"
"08:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E849","2h 50m"
"08:15","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E484","1h 15m"
"08:15","6E","IndiGo","Bagdogra","IXB","Bagdogra","6E443","2h 45m"
"08:20","6E","IndiGo","Nagpur","NAG","Nagpur","6E6863","1h 35m"
"08:20","IX","Air India Express","Dehradun","DED","Dehra Dun","IX1509","3h 10m"
"08:20","QP","Akasa Air","Ahmedabad Airport","AMD","Ahmedabad","QP1902","2h 15m"
"08:25","6E","IndiGo","Patna","PAT","Patna","6E6801","2h 35m"
