"Arrival time","Airline code","Airline","Origin airport","Origin code","Origin city","Flight","Duration"
"13:00","EK","Emirates","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","EK571","4h 40m"
"13:00","EK","Emirates","Zia International","DAC","Dhaka","EK583","4h 50m"
"13:00","EK","Emirates","Indira Gandhi International Airport","DEL","Delhi","EK511","3h 30m"
"13:00","FZ","flydubai","Shah Amanat International","CGP","Chittagong","FZ564","5h 15m"
"13:05","EK","Emirates","Melbourne International","MEL","Melbourne","EK409","13h 50m"
"13:20","EK","Emirates","Jinnah International","KHI","Karachi","EK601","2h 5m"
"13:20","FZ","flydubai","King Khaled International","RUH","Riyadh","FZ848","2h 30m"
"13:25","FZ","flydubai","Faisalabad International","LYP","Faisalabad","FZ392","3h 15m"
"13:45","EK","Emirates","Singapore Changi Airport","SIN","Singapore","EK315","7h 10m"
"13:45","FZ","flydubai","Multan International","MUX","Multan","FZ326","3h 25m"
"14:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI4209","3h 45m"
"14:10","EK","Emirates","Kingsford Smith International Airport","SYD","Sydney","EK415","14h 10m"
"14:10","SV","Saudia","King Abdulaziz International Airport","JED","Jeddah","SV568","2h 55m"
"14:25","FZ","flydubai","Seeb International","MCT","Muscat","FZ42","1h 15m"
"14:30","SU","Aeroflot","Sheremetyevo International Airport","SVO","Moscow","SU520","6h 25m"
"14:40","EK","Emirates","King Abdulaziz International Airport","JED","Jeddah","EK806","2h 55m"
"14:45","FZ","flydubai","Bahrain International Airport","BAH","Bahrain","FZ82","1h 30m"
"15:10","PF","AirSial","Islamabad International Airport","ISB","Islamabad","PF784","3h 10m"
"15:15","FZ","flydubai","Beirut International Airport","BEY","Beirut","FZ158","3h 50m"
"15:20","FZ","flydubai","Damascus International","DAM","Damascus","FZ1116","3h 40m"
"15:25","XY","Flynas","King Khaled International","RUH","Riyadh","XY205","2h 5m"
"15:30","PK","PIA","Peshawar","PEW","Peshawar","PK283","3h 20m"
"15:35","FZ","flydubai","King Fahd International","DMM","Dammam","FZ870","1h 40m"
"15:40","FZ","flydubai","Ben Gurion International Airport","TLV","Tel Aviv-Yafo","FZ1550","3h 45m"
"15:40","WY","Oman Air","Seeb International","MCT","Muscat","WY609","1h 10m"
"15:45","ET","Ethiopian","Addis Ababa Bole International Airport","ADD","Addis Ababa","ET602","4h 15m"
"15:45","FZ","flydubai","Ben Gurion International Airport","TLV","Tel Aviv-Yafo","FZ1074","3h 45m"
"15:45","PA","Airblue","Multan International","MUX","Multan","PA810","3h 15m"
"16:00","D3","Daallo Airlines","Hargeisa","HGA","Hargeisa","D3188","3h 30m"
"16:00","IX","Air India Express","Tiruchirappalli","TRZ","Tiruchirappalli","IX611","4h 20m"
"16:00","J9","Jazeera","Kuwait International","KWI","Kuwait","J9123","2h 15m"
"16:00","QB","Qeshm Air","Dayrestan Airport","GSM","Qeshm Island","QB2200","23h 40m"
"16:00","SV","Saudia","King Abdulaziz International Airport","JED","Jeddah","SV588","2h 55m"
"16:00","W2","FlexFlight","Hargeisa","HGA","Hargeisa","W2878","3h 30m"
"16:35","FZ","flydubai","King Abdulaziz International Airport","JED","Jeddah","FZ910","3h 0m"
"16:40","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E1453","3h 5m"
"16:45","FZ","flydubai","King Khaled International","RUH","Riyadh","FZ842","2h 30m"
"16:45","SV","Saudia","King Khaled International","RUH","Riyadh","SV554","2h 0m"
"17:00","RX","Regent Airways","King Khaled International","RUH","Riyadh","RX243","1h 55m"
"17:15","FZ","flydubai","Zvartnots International Airport","EVN","Yerevan","FZ718","4h 50m"
"17:15","FZ","flydubai","Heydar Aliyev International Airport","GYD","Baku","FZ710","5h 10m"
"17:15","PA","Airblue","Islamabad International Airport","ISB","Islamabad","PA216","3h 30m"
"17:25","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI4217","3h 0m"
"17:25","FZ","flydubai","Lochini","TBS","Tbilisi","FZ722","4h 45m"
"17:30","EK","Emirates","Cairo International Airport","CAI","Cairo","EK928","3h 20m"
"17:35","EK","Emirates","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","EK507","3h 5m"
"17:35","FZ","flydubai","Baghdad International Airport","BGW","Baghdad","FZ212","3h 35m"
"17:45","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI4309","4h 15m"
"17:55","FZ","flydubai","Jinnah International","KHI","Karachi","FZ336","2h 15m"
"17:55","KU","Kuwait Airways","Kuwait International","KWI","Kuwait","KU673","2h 0m"
"18:00","FZ","flydubai","Jazan","GIZ","Jazan","FZ834","3h 5m"
"18:00","IX","Air India Express","Lucknow","LKO","Lucknow","IX193","4h 15m"
"18:00","MS","EgyptAir","Cairo International Airport","CAI","Cairo","MS905","3h 30m"
"18:00","YI","Fly OYA","Mitiga Airport","MJI","Mitiga, Tripoli","YI570","5h 30m"
"18:05","FZ","flydubai","King Fahd International","DMM","Dammam","FZ864","1h 40m"
"18:05","FZ","flydubai","Seeb International","MCT","Muscat","FZ44","1h 15m"
"18:10","GF","Gulf Air","Bahrain International Airport","BAH","Bahrain","GF508","1h 25m"
"18:25","EK","Emirates","Indira Gandhi International Airport","DEL","Delhi","EK517","3h 30m"
"18:25","FZ","flydubai","Ben Gurion International Airport","TLV","Tel Aviv-Yafo","FZ1212","3h 45m"
"18:30","EK","Emirates","Beirut International Airport","BEY","Beirut","EK958","4h 0m"
"18:40","J9","Jazeera","Kuwait International","KWI","Kuwait","J9125","2h 15m"
"18:45","FZ","flydubai","Erbil Intl","EBL","Erbil","FZ204","2h 45m"
"18:45","FZ","flydubai","Sphinx International Airport","SPX","Giza","FZ194","4h 0m"
"18:50","FZ","flydubai","Benina","BEN","Benghazi","FZ1148","5h 5m"
"18:55","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E1455","3h 5m"
"18:55","KU","Kuwait Airways","Kuwait International","KWI","Kuwait","KU675","2h 0m"
"18:55","XY","Flynas","King Khaled International","RUH","Riyadh","XY207","2h 5m"
"19:00","PA","Airblue","Jinnah International","KHI","Karachi","PA110","2h 25m"
"19:15","FZ","flydubai","Bahrain International Airport","BAH","Bahrain","FZ26","1h 30m"
"19:25","9P","FJ","Allama Iqbal International","LHE","Lahore","9P512","3h 25m"
"19:30","FZ","flydubai","Hamad International Airport","DOH","Doha","FZ18","1h 25m"
"19:40","EK","Emirates","Heathrow","LHR","London","EK8","7h 35m"
"19:40","EK","Emirates","Seattle Tacoma International","SEA","Seattle","EK230","15h 25m"
"19:45","EK","Emirates","Chicago O Hare International","ORD","Chicago","EK236","14h 10m"
"19:45","FZ","flydubai","Kabul International","KBL","Kabul","FZ308","3h 30m"
"19:50","6E","IndiGo","Chandigarh","IXC","Chandigarh","6E1481","4h 0m"
"19:55","EK","Emirates","Frankfurt Airport","FRA","Frankfurt","EK44","6h 55m"
"20:00","EK","Emirates","Bahrain International Airport","BAH","Bahrain","EK840","1h 15m"
"20:00","EK","Emirates","Boston Logan International Airport","BOS","Boston","EK238","12h 55m"
"20:00","FZ","flydubai","Zvartnots International Airport","EVN","Yerevan","FZ716","4h 50m"
"20:10","EK","Emirates","George Bush Intcntl Houston","IAH","Houston","EK212","15h 35m"
"20:10","EK","Emirates","John F Kennedy International","JFK","New York","EK202","13h 10m"
"20:15","GF","Gulf Air","Bahrain International Airport","BAH","Bahrain","GF510","1h 10m"
"20:25","EK","Emirates","Kuwait International","KWI","Kuwait","EK858","1h 45m"
"20:25","EK","Emirates","Los Angeles International","LAX","Los Angeles","EK216","16h 45m"
"20:25","FZ","flydubai","Kuwait International","KWI","Kuwait","FZ64","2h 0m"
"20:30","EK","Emirates","San Francisco International","SFO","San Francisco","EK226","16h 25m"
"20:35","EK","Emirates","Charles De Gaulle","CDG","Paris","EK72","7h 15m"
"20:35","FZ","flydubai","Catania Fontanarossa Airport","CTA","Catania","FZ1502","6h 10m"
"20:35","FZ","flydubai","Ben Gurion International Airport","TLV","Tel Aviv-Yafo","FZ1082","3h 45m"
"20:35","RJ","Royal Jordanian","Queen Alia International","AMM","Amman","RJ614","3h 45m"
"20:40","EK","Emirates","Gatwick","LGW","London","EK12","7h 35m"
"20:40","EK","Emirates","Manchester Airport","MAN","Manchester","EK22","7h 50m"
"20:40","ME","Middle East Airlines","Beirut International Airport","BEY","Beirut","ME428","3h 35m"
"20:45","EK","Emirates","Schiphol","AMS","Amsterdam","EK146","7h 20m"
"20:50","FZ","flydubai","Basrah International","BSR","Basra","FZ1228","3h 45m"
