"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"11:45","SQ","Singapore Airlines","Singapore Changi Airport","SIN","Singapore","SQ421","5h 35m"
"12:00","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2632","2h 5m"
"12:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2419","2h 20m"
"12:00","IX","Air India Express","Mangalore","IXE","Mangalore","IX1027","1h 35m"
"12:05","6E","IndiGo","Hirasar Airport","HSR","Hirasar","6E2284","1h 10m"
"12:10","6E","IndiGo","Lucknow","LKO","Lucknow","6E5251","2h 10m"
"12:10","AI","Air India","Dehradun","DED","Dehra Dun","AI431","2h 10m"
"12:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6028","2h 10m"
"12:15","6E","IndiGo","Jodhpur","JDH","Jodhpur","6E2247","1h 35m"
"12:25","6E","IndiGo","Raipur","RPR","Raipur","6E6122","1h 50m"
"12:30","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5184","1h 55m"
"12:30","IX","Air India Express","Goa","GOI","Goa","IX1238","1h 10m"
"12:30","6E","IndiGo","Mangalore","IXE","Mangalore","6E673","1h 30m"
"12:30","AI","Air India","Udaipur","UDR","Udaipur","AI2593","1h 30m"
"12:35","6E","IndiGo","Adampur Airport","AIP","Adampur","6E5931","2h 25m"
