"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"21:10","IX","Air India Express","Zayed International Airport","AUH","Abu Dhabi","IX261","3h 15m"
"21:10","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5056","1h 35m"
"21:10","AI","Air India","Fiumicino","FCO","Rome","AI191","8h 45m"
"21:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E102","2h 15m"
"21:15","SG","SpiceJet","Dubai International Airport","DXB","Dubai","SG5113","3h 0m"
"21:25","AI","Air India","Rajiv Gandhi International Airport","HYD","Hyderabad","AI2869","1h 40m"
"21:30","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E6188","1h 55m"
"21:30","SG","SpiceJet","Indira Gandhi International Airport","DEL","Delhi","SG511","2h 25m"
"21:35","AI","Air India","Ahmedabad Airport","AMD","Ahmedabad","AI2919","1h 20m"
"21:45","GF","Gulf Air","Bahrain International Airport","BAH","Bahrain","GF65","3h 55m"
"21:45","QP","Akasa Air","Kempegowda International Airport","BLR","Bengaluru","QP1518","1h 55m"
"21:50","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E5283","1h 35m"
"21:50","6E","IndiGo","Seeb International","MCT","Muscat","6E1267","2h 35m"
"21:55","G9","Air Arabia","Sharjah International","SHJ","Sharjah","G9402","3h 0m"
"22:05","IX","Air India Express","Seeb International","MCT","Muscat","IX235","2h 40m"
"22:05","IX","Air India Express","Ahmedabad Airport","AMD","Ahmedabad","IX2391","1h 30m"
"22:05","QP","Akasa Air","Ahmedabad Airport","AMD","Ahmedabad","QP1103","1h 30m"
"22:10","6E","IndiGo","Goa","GOI","Goa","6E5106","1h 20m"
"22:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E651","2h 15m"
"22:15","6E","IndiGo","Hamad International Airport","DOH","Doha","6E1341","3h 35m"
"22:20","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5388","2h 0m"
